session,status,source,destination,duplicate_of,note
11,move,assets/world-anvil/screenshots/Session 11/Session 11-14.webp,assets/world-anvil/screenshots/Session 11 - Explore Report Rule/Session 11-14.webp,,
11,move,assets/world-anvil/screenshots/Session 11/Session 11-15.webp,assets/world-anvil/screenshots/Session 11 - Explore Report Rule/Session 11-15.webp,,
11,move,assets/world-anvil/screenshots/Session 11/Session 11-16.webp,assets/world-anvil/screenshots/Session 11 - Explore Report Rule/Session 11-16.webp,,
11,move,assets/world-anvil/screenshots/Session 11/Session 11-17.webp,assets/world-anvil/screenshots/Session 11 - Explore Report Rule/Session 11-17.webp,,
11,move,assets/world-anvil/screenshots/Session 11/Session 11-18.webp,assets/world-anvil/screenshots/Session 11 - Explore Report Rule/Session 11-18.webp,,
11,move,assets/world-anvil/screenshots/Session 11/Session 11-19.webp,assets/world-anvil/screenshots/Session 11 - Explore Report Rule/Session 11-19.webp,,
11,move,assets/world-anvil/screenshots/Session 11/Session 11-20.webp,assets/world-anvil/screenshots/Session 11 - Explore Report Rule/Session 11-20.webp,,
12,move,assets/world-anvil/screenshots/Session 12/Session 12-01.webp,assets/world-anvil/screenshots/Session 12 - Kingdom Mysteries/Session 12-01.webp,,
12,move,assets/world-anvil/screenshots/Session 12/Session 12-02.webp,assets/world-anvil/screenshots/Session 12 - Kingdom Mysteries/Session 12-02.webp,,
12,move,assets/world-anvil/screenshots/Session 12/Session 12-03.webp,assets/world-anvil/screenshots/Session 12 - Kingdom Mysteries/Session 12-03.webp,,
12,move,assets/world-anvil/screenshots/Session 12/Session 12-04.webp,assets/world-anvil/screenshots/Session 12 - Kingdom Mysteries/Session 12-04.webp,,
12,move,assets/world-anvil/screenshots/Session 12/Session 12-05.webp,assets/world-anvil/screenshots/Session 12 - Kingdom Mysteries/Session 12-05.webp,,
12,move,assets/world-anvil/screenshots/Session 12/Session 12-06.webp,assets/world-anvil/screenshots/Session 12 - Kingdom Mysteries/Session 12-06.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-01.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-01.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-02.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-02.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-03.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-03.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-04.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-04.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-05.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-05.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-06.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-06.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-07.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-07.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-08.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-08.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-09.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-09.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-10.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-10.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-11.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-11.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-12.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-12.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-13.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-13.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-14.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-14.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-15.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-15.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-16.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-16.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-17.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-17.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-18.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-18.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-19.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-19.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-20.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-20.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-21.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-21.webp,,
13,move,assets/world-anvil/screenshots/Session 13/Session 13-22.webp,assets/world-anvil/screenshots/Session 13 - The Depths of Candlemere Island/Session 13-22.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-01.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-01.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-02.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-02.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-03.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-03.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-04.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-04.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-05.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-05.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-06.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-06.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-07.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-07.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-08.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-08.webp,,
14,move,assets/world-anvil/screenshots/Session 14/Session 14-09.webp,assets/world-anvil/screenshots/Session 14 - Love Hurts/Session 14-09.webp,,
