old_path,new_path,original_bytes,webp_bytes,saved_bytes,status,error
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-05.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-05.webp,7400154,193912,7206242,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-06.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-06.webp,7570589,222402,7348187,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-07.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-07.webp,8804982,339752,8465230,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-08.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-08.webp,5730351,157070,5573281,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-09.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-09.webp,6726715,182246,6544469,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-10.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-10.webp,7265369,208630,7056739,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-11.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-11.webp,7361202,224594,7136608,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-12.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-12.webp,7569781,264126,7305655,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-13.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-13.webp,7561288,281464,7279824,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-14.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-14.webp,7750417,257376,7493041,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-15.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-15.webp,7768112,308638,7459474,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-16.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-16.webp,7682397,266288,7416109,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-17.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-17.webp,7721623,267774,7453849,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-18.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-18.webp,7971925,257814,7714111,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-19.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-19.webp,7828278,250136,7578142,converted,
assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-20.png,assets/world-anvil/screenshots/Session 48 - Finishing the Job for Hannis/Session 48-20.webp,7238143,244146,6993997,converted,
